step,selected_pc,cv_mse,cv_rmse
1,PC5,1.3624627712828854,1.167245805853628
2,PC48,1.3361466738818577,1.1559181086399926
3,PC3,1.3131210429034315,1.1459149370278021
4,PC16,1.2894897943211194,1.1355570414211342
5,PC15,1.2709230045662716,1.1273522096338267
6,PC4,1.2537201197424246,1.1196964408903087
7,PC2,1.2399978496358468,1.1135519070235778
8,PC29,1.2260148215648499,1.107255535802305
9,PC8,1.215626674751594,1.1025546130471697
10,PC18,1.2073236070286846,1.0987827842793518
11,PC39,1.1974888294003068,1.094298327422786
12,PC31,1.189499580425016,1.090641820408981
13,PC34,1.183223938166636,1.087760974739688
14,PC35,1.1781111578766357,1.0854082908641502
15,PC47,1.171753490332414,1.0824756303642193
16,PC36,1.1667678926369893,1.0801703072372382
17,PC21,1.1615162272570458,1.0777366223976272
18,PC28,1.1588404377385968,1.076494513566417
19,PC25,1.1575621127363407,1.0759006054168483
20,PC17,1.1561634385211959,1.0752504073569076
21,PC12,1.1541583320391988,1.0743176122726457
22,PC42,1.1529948609399416,1.0737759826611608
23,PC33,1.151813412784085,1.0732257044928084
24,PC45,1.1506858524456356,1.0727002621634971
