PC,coefficient
PC5,-0.00014211824087682925
PC48,-0.0003592381156215184
PC3,5.0429397274191227e-05
PC16,-0.00017498040569765996
PC15,0.00015587597033058832
PC4,-7.103390754234174e-05
PC2,-3.780618349869102e-05
PC29,0.00020877577256232194
PC8,-7.359886670589898e-05
PC18,-0.00011534274818912838
PC39,-0.00025111219660606493
PC31,-0.0001372843808674145
PC34,-0.0001358494316116567
PC35,-0.00019477327069028697
PC47,0.00024836547048712713
PC36,-0.00010695555411093079
PC21,0.0001149512309737183
PC28,0.00012219757728434985
PC25,-6.93709593648382e-05
PC17,-7.021888558854371e-05
PC12,3.8752561382307154e-05
PC42,-0.00010117823313678838
PC33,9.298753791899168e-05
PC45,-5.214529274469707e-05
